x,y,Habitat,JunJul,DJF,AprMay
5401.,4559.,Co,15.289,-8.2759,5.67575
4953.,5165.,Co,11.146,-11.423,1.54235
5169.,4463.,Br,15.523,-6.7685,6.5721
5051.,4693.,Urb,14.76,-7.385,5.67735
5279.,4469.,We,16.293,-6.7016,6.18955
5249.,4373.,Co,16.476,-6.0146,7.2132
5173.,4869.,Op,13.192,-10.363,3.023645
5051.,4439.,Co,14.667,-6.3637,6.03775
4887.,4457.,Ma,14.729,-3.4302,5.577
5095.,4205.,We,16,-4.0634,7.3707
5351.,4593.,Co,14.932,-8.4922,5.4933
5147.,4621.,Br,14.816,-7.7803,5.7171
5147.,4719.,We,14.375,-8.6322,4.87265
5109.,4255.,Urb,15.805,-4.6803,7.1927
5269.,4653.,Co,14.589,-9.0164,4.9482
5107.,4741.,Co,14.573,-8.4191,4.99535
5055.,4983.,Br,12.899,-10.683,2.992305
4871.,4475.,Ma,14.729,-3.4302,5.577
5019.,4615.,Urb,13.934,-5.761,4.8138
5097.,4431.,Co,14.995,-6.4721,6.2699
5313.,4689.,Co,14.677,-9.2851,4.69298
4953.,5095.,We,11.374,-11.549,1.59905
5033.,4381.,Co,15.165,-5.5317,6.4385
5301.,4407.,Co,16.34,-6.3594,6.80115
5125.,4643.,Co,14.572,-8.0946,5.42265
4943.,4937.,Co,13.538,-10.549,3.834915
4985.,5193.,Op,10.685,-11.946,1.0307
5223.,4629.,Co,14.704,-8.471,5.2266
4963.,5089.,Co,11.684,-11.761,1.94755
5073.,5183.,Co,11.61,-10.81,2.1936
5087.,4175.,Co,16.061,-3.0523,7.1206
5263.,4321.,We,16.475,-5.471,7.29605
4947.,5093.,Co,11.197,-11.432,1.36865
4979.,4301.,Urb,15.797,-3.895,7.32455
5059.,4465.,Co,14.536,-6.6762,5.80875
4839.,5107.,Br,10.634,-12.908,0.18435
5053.,4603.,Co,14.495,-7.2815,5.69575
4953.,4217.,Urb,15.726,-2.2315,6.6559
5167.,4863.,Op,13.265,-10.337,3.158085
5063.,4571.,Co,14.533,-7.2971,5.72
5045.,5187.,Co,11.611,-11.019,2.024935
4939.,4391.,Urb,14.652,-4.0656,5.9934
5159.,4539.,Co,15.397,-7.2364,6.22305
5073.,4261.,We,15.682,-4.8096,7.1727
5013.,4991.,We,12.732,-11.06,2.813385
5295.,4327.,Co,16.442,-5.5897,7.2571
4981.,5131.,Co,11.151,-11.3,1.49945
5049.,4705.,Br,14.527,-7.0252,5.4299
5025.,5003.,Co,12.875,-11.134,2.92504
5205.,4533.,We,16.117,-6.9325,6.50825
5339.,4509.,We,15.878,-7.4927,5.5902
4989.,4927.,Co,13.491,-10.26,3.738985
5083.,4273.,Co,15.801,-4.8256,7.2553
4999.,4993.,We,12.877,-11.014,3.030665
5011.,4177.,Ma,16.09,-2.7169,7.1863
5007.,4423.,Co,14.758,-5.7769,6.30115
4907.,4421.,Urb,14.856,-3.8403,5.8086
4967.,4203.,Ma,15.726,-2.2315,6.6559
5087.,4905.,Co,13.54,-10.159,3.63433
5115.,4775.,We,14.47,-8.8445,4.70365
5107.,4297.,Co,15.929,-5.0639,7.26185
5045.,4879.,Br,13.83,-9.4673,3.955075
5019.,4807.,Op,14.367,-7.8396,3.944115
5025.,4403.,Co,14.889,-5.8427,6.3477
5139.,4907.,Co,13.253,-10.374,3.280595
5115.,4545.,Co,15.643,-6.7871,6.47925
5041.,4305.,Co,15.861,-4.8099,7.3409
5039.,5239.,Co,10.857,-11.879,1.42605
5041.,5099.,We,11.712,-11.692,1.7079
5213.,4841.,Co,13.357,-10.388,3.187885
5161.,4523.,We,15.339,-7.1545,6.2515
5229.,4777.,Co,13.812,-9.839,3.92596
4965.,4985.,Co,12.98,-10.971,3.2404645
5229.,4371.,Br,16.424,-5.9371,7.2688
5167.,4763.,Co,13.948,-9.5788,4.162425
5037.,5061.,We,11.968,-11.936,1.74685
5155.,4213.,Urb,16.765,-3.7575,7.8348
4993.,4257.,Urb,15.82,-3.7157,7.2202
4993.,5125.,Co,11.151,-11.3,1.49945
4923.,4437.,Co,14.786,-4.6611,6.0222
5167.,4375.,We,15.872,-5.745,6.6235
5135.,4783.,Co,14.155,-9.2568,4.399355
5025.,5129.,Co,11.358,-11.277,1.6745
5129.,5063.,Co,11.995,-10.824,2.245345
5017.,5011.,Co,12.575,-11.488,2.582975
5191.,4351.,Co,16.32,-5.6596,7.21925
5273.,4589.,Co,14.697,-8.4879,5.20125
5065.,4261.,We,15.681,-4.6996,7.20235
5227.,4649.,Co,14.716,-8.6857,5.1586
5003.,4927.,Br,14.107,-9.6473,4.318495
5387.,4585.,Co,15.159,-8.4413,5.591
5021.,4255.,Urb,15.89,-4.1716,7.3689
5047.,5073.,We,12.077,-11.872,1.7928
4981.,4591.,Urb,14.516,-5.6509,5.52495
5079.,4221.,Co,15.999,-3.9345,7.395
5287.,4589.,Br,14.972,-8.3662,5.49255
5037.,5187.,We,11.684,-11.024,2.09267
5141.,4311.,Co,15.489,-5.5353,6.60195
5247.,4447.,Co,15.917,-6.919,6.63745
4933.,5041.,Op,12.492,-10.782,2.824025
5135.,4911.,Co,13.105,-10.494,3.11899
5291.,4303.,Co,16.331,-5.1299,7.04865
5003.,4737.,Ma,14.229,-6.0097,4.8203
5111.,4965.,Co,13.166,-10.677,3.342487
4977.,4897.,Op,13.786,-10.251,4.07222
5001.,4641.,Co,13.934,-5.761,4.8138
4887.,5121.,We,10.755,-12.08,0.33735
4981.,5235.,Op,10.735,-12.492,1.12795
5139.,4245.,Urb,16.04,-4.7265,7.38995
